bill_uid,state_code,state,identifier,chamber,title,classification,furthest_stage,lifecycle_state,primary_sponsor,primary_sponsor_party,subjects,first_action_date,latest_action_date,source_count,sources,state_population,is_enacted,reached_passed_chamber,days_active,days_since_last_action,primary_topic
MO:2026:HB3317,MO,Missouri,HB 3317,House,Allows for the installation of intelligent speed assistance devices in lieu of driver's license revocation for certain traffic offenses,bill,introduced,active,,,,,2026-04-15,1,legiscan,6200000,0,0,,82,
MO:2026:HB3318,MO,Missouri,HB 3318,House,Requires drivers to stop at railroad crossings for any on-track equipment in addition to trains,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3319,MO,Missouri,HB 3319,House,Modifies provisions relating to the personal needs allowance for MO HealthNet participants receiving care in an institution,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3320,MO,Missouri,HB 3320,House,Creates provisions relating to the regulation of community water systems,bill,introduced,active,,,,,2026-04-16,1,legiscan,6200000,0,0,,81,
MO:2026:HB3321,MO,Missouri,HB 3321,House,Modifies provisions for fiscal years of urban public library districts,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3322,MO,Missouri,HB 3322,House,Modifies provisions relating to educational stability for a child in foster care,bill,introduced,active,,,,,2026-04-14,1,legiscan,6200000,0,0,,83,
MO:2026:HB3323,MO,Missouri,HB 3323,House,Reestablishes prostate cancer programs,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3324,MO,Missouri,HB 3324,House,Modifies provisions related to an income tax deduction for certain farmers,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3325,MO,Missouri,HB 3325,House,Modifies and establishes provisions relating to special license plates,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3326,MO,Missouri,HB 3326,House,Provides immunity from civil liability for disclosures by a charitable organization of allegations of sexual misconduct,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
